case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,115,113,10809.0,12966.199999999999,19389.44,10797.0,12327.4,19198.83999999999,0.9507334454196296,0.15994125288241953,0.15701575576685523,0.017391304347826087,0.017699115044247787,0.0003078106964217002,0.0,0.0,0.0,0.6562027200283789,-0.07502885725278952,0.0,False,False,1.0,False
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,113,114,11509.0,15045.4,20072.12,11232.0,13848.1,20146.13,0.9204208595318171,0.15715966587576877,0.15840527572939378,0.017699115044247787,0.017543859649122806,-0.00015525539512498132,0.0,0.0,0.0,0.03567508204823905,-0.1820369507840397,0.0,False,False,0.2140504922894343,False
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,113,114,143748.0,178916.79999999993,264957.0799999997,164050.0,439016.2499999999,459789.87,2.45374526036683,0.15715966587576877,0.15840527572939378,0.017699115044247787,0.2807017543859649,0.2630026393417171,0.0,0.0,0.0,1.148416899994206e-06,0.38410184753920196,0.38410184753920196,False,False,1.2632585899936268e-05,True
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,88,96,3407.0,4394.8,7713.159999999966,3365.5,4401.25,5300.099999999977,1.0014676435787748,0.12238982829263408,0.13339391640370002,0.011363636363636364,0.010416666666666666,-0.0009469696969696979,0.0,0.0,0.0,0.5438088999946635,-0.09398674242424243,0.0,False,False,1.0,False
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},238,219,43122.0,51212.69999999998,61974.66999999999,44129.0,119338.59999999999,138547.43999999997,2.3302540190226257,0.3310088537914422,0.3043048717959407,0.012605042016806723,0.2465753424657534,0.23397030044894668,0.0,0.0,0.0,0.0017873117542658344,0.17980890986531595,0.17980890986531595,False,False,0.014298494034126676,True
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,85,84,11889.0,13809.4,17570.439999999995,11713.0,18253.249999999993,31108.420000000086,1.3217989195765198,0.11821744778265791,0.11671967685323752,0.011764705882352941,0.05952380952380952,0.04775910364145658,0.0,0.0,0.0,1.0,-0.012464985994397715,0.0,False,False,1.0,False
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,65,59,46998.0,57744.39999999999,61409.159999999996,47135.0,54522.7,55123.600000000006,0.94420757683862,0.09040157771615018,0.08198167778977397,0.015384615384615385,0.0,-0.015384615384615385,0.0,0.0,0.0,1.0,-0.019295958279009096,0.0,False,False,1.0,False
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,106,98,81555.0,90655.25,103081.95000000003,77888.5,89950.39999999997,131961.33000000002,0.992224940088963,0.14742411135249106,0.1361729563287771,0.018867924528301886,0.02040816326530612,0.0015402387370042347,0.0,0.0,0.0,0.00035781439088959063,-0.30400462071621104,0.0,False,False,0.0035781439088959062,False
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::POST /api/v1/travel2service/trips/left,POST /api/v1/travel2service/trips/left (direct),POST /api/v1/travel2service/trips/left,998,1003,41794.5,52488.049999999996,60433.479999999996,42679.0,51652.7,56756.560000000005,0.9840849488597881,1.3880119163187365,1.3936885224261575,0.01002004008016032,0.007976071784646061,-0.002043968295514259,0.0,0.0,0.0,0.9524546874171469,0.01839471565264117,0.01839471565264117,False,False,1.0,False
re2tt_ts-travel-service_disk_3,disk,ts-travel-service,direct::POST /api/v1/travelservice/trips/left,POST /api/v1/travelservice/trips/left (direct),POST /api/v1/travelservice/trips/left,250,291,45341.0,68504.34999999999,123799.71999999997,62750.0,243912.0,302406.30000000045,3.5605330172463505,0.34769837583134683,0.40435030909871567,0.012,0.29553264604810997,0.28353264604810996,0.0,0.0,0.0,2.2303446870654735e-15,0.3993539518900344,0.3993539518900344,False,False,2.6764136244785682e-14,True
